12/03/2024 13:39:51:711  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:TechnicalDifficulties | Framework | TechnicalDifficulties |  |  | undefined
12/03/2024 13:39:51:911  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:SFDynamicTransfer | Framework | SFDynamicTransfer |  |  | undefined
12/03/2024 13:39:51:985  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:Transfer-Begin | Framework | Transfer-Begin |  |  | undefined
12/03/2024 13:39:52:052  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:Transfer-checkVbselfserve | Framework | Transfer-checkVbselfserve |  |  | undefined
12/03/2024 13:39:52:156  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
12/03/2024 13:39:52:252  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:Transfer-Error | Framework | Transfer-Error |  |  | undefined
12/03/2024 13:39:52:331  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
12/03/2024 13:39:52:408  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
12/03/2024 13:39:52:485  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:Disconnect | Framework | Disconnect |  |  | undefined
12/03/2024 13:39:52:553  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:CallDisconnect | Framework | CallDisconnect |  |  | undefined
12/03/2024 13:39:52:641  INFO - Node Entry | session id:sess5287699 | QatarIVR_UAT_New:Exit | Framework | Exit |  | ^^0^0 | undefined
12/03/2024 13:39:52:664  INFO - Application Exit | session id:sess5287699 | QatarIVR_UAT_New:Exit | Framework | Application Exiting |  |  | undefined
