07/02/2024 08:47:01:860  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:LoadInitValues | Framework | LoadInitValues |  |  | undefined
07/02/2024 08:47:02:256  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:47:02:308  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:DynamicData | Framework | DynamicData |  |  | undefined
07/02/2024 08:47:02:358  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
07/02/2024 08:47:02:412  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:47:02:464  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:SFConnectBack | Framework | SFConnectBack |  |  | undefined
07/02/2024 08:47:02:516  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:connectback-Begin | Framework | connectback-Begin |  |  | undefined
07/02/2024 08:47:02:567  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
07/02/2024 08:47:02:617  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:connectback-getUUIValues | Framework | connectback-getUUIValues |  |  | undefined
07/02/2024 08:47:02:692  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:connectback-getPNR | Framework | connectback-getPNR |  |  | undefined
07/02/2024 08:47:02:862  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:connectback-getCustDetails | Framework | connectback-getCustDetails |  |  | undefined
07/02/2024 08:47:03:045  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:connectback-Enroll | Framework | connectback-Enroll |  |  | undefined
07/02/2024 08:47:03:097  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
07/02/2024 08:47:03:149  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
07/02/2024 08:47:03:201  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:Enrollment-consentAnnouncement | Framework | Enrollment-consentAnnouncement |  |  | undefined
07/02/2024 08:47:03:259  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:Enrollment-consentMenu | Framework | Enrollment-consentMenu |  |  | undefined
07/02/2024 08:47:04:923  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:ConDisconnectHangup | Framework | ConDisconnectHangup |  |  | undefined
07/02/2024 08:47:04:975  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
07/02/2024 08:47:05:026  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
07/02/2024 08:47:05:143  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:Disconnect | Framework | Disconnect |  |  | undefined
07/02/2024 08:47:05:195  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:CallDisconnect | Framework | CallDisconnect |  |  | undefined
07/02/2024 08:47:05:252  INFO - Node Entry | session id:sess9109382 | QatarIVR_UAT:Exit | Framework | Exit |  | ^^0^0 | undefined
07/02/2024 08:47:05:252  INFO - Application Exit | session id:sess9109382 | QatarIVR_UAT:Exit | Framework | Application Exiting |  |  | undefined
07/02/2024 08:53:51:163  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:Start | Framework | Start |  |  | 
07/02/2024 08:53:51:230  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:LoadInitValues | Framework | LoadInitValues |  |  | undefined
07/02/2024 08:53:51:702  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:53:51:754  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:DynamicData | Framework | DynamicData |  |  | undefined
07/02/2024 08:53:51:805  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
07/02/2024 08:53:51:859  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:53:51:909  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:SFConnectBack | Framework | SFConnectBack |  |  | undefined
07/02/2024 08:53:51:960  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:connectback-Begin | Framework | connectback-Begin |  |  | undefined
07/02/2024 08:53:52:012  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
07/02/2024 08:53:52:063  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:connectback-getUUIValues | Framework | connectback-getUUIValues |  |  | undefined
07/02/2024 08:53:52:150  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:connectback-getPNR | Framework | connectback-getPNR |  |  | undefined
07/02/2024 08:53:52:373  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:connectback-getCustDetails | Framework | connectback-getCustDetails |  |  | undefined
07/02/2024 08:53:52:622  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:connectback-Enroll | Framework | connectback-Enroll |  |  | undefined
07/02/2024 08:53:52:674  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
07/02/2024 08:53:52:725  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
07/02/2024 08:53:52:777  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:Enrollment-consentAnnouncement | Framework | Enrollment-consentAnnouncement |  |  | undefined
07/02/2024 08:53:52:837  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:Enrollment-consentMenu | Framework | Enrollment-consentMenu |  |  | undefined
07/02/2024 08:53:54:485  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:ConDisconnectHangup | Framework | ConDisconnectHangup |  |  | undefined
07/02/2024 08:53:54:535  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
07/02/2024 08:53:54:587  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
07/02/2024 08:53:54:692  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:Disconnect | Framework | Disconnect |  |  | undefined
07/02/2024 08:53:54:743  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:CallDisconnect | Framework | CallDisconnect |  |  | undefined
07/02/2024 08:53:54:798  INFO - Node Entry | session id:sess4548101 | QatarIVR_UAT:Exit | Framework | Exit |  | ^^0^0 | undefined
07/02/2024 08:53:54:798  INFO - Application Exit | session id:sess4548101 | QatarIVR_UAT:Exit | Framework | Application Exiting |  |  | undefined
07/02/2024 08:54:01:109  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:Start | Framework | Start |  |  | 
07/02/2024 08:54:01:167  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:LoadInitValues | Framework | LoadInitValues |  |  | undefined
07/02/2024 08:54:01:432  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:54:01:484  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:DynamicData | Framework | DynamicData |  |  | undefined
07/02/2024 08:54:01:535  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
07/02/2024 08:54:01:590  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
07/02/2024 08:54:01:642  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:SFConnectBack | Framework | SFConnectBack |  |  | undefined
07/02/2024 08:54:01:693  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:connectback-Begin | Framework | connectback-Begin |  |  | undefined
07/02/2024 08:54:01:746  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:connectback-preProcessor | Framework | connectback-preProcessor |  |  | undefined
07/02/2024 08:54:01:797  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:connectback-getUUIValues | Framework | connectback-getUUIValues |  |  | undefined
07/02/2024 08:54:01:872  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:connectback-getPNR | Framework | connectback-getPNR |  |  | undefined
07/02/2024 08:54:02:075  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:connectback-getCustDetails | Framework | connectback-getCustDetails |  |  | undefined
07/02/2024 08:54:02:265  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:connectback-Enroll | Framework | connectback-Enroll |  |  | undefined
07/02/2024 08:54:02:316  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:Enrollment-Begin | Framework | Enrollment-Begin |  |  | undefined
07/02/2024 08:54:02:375  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:Enrollment-preProcessor | Framework | Enrollment-preProcessor |  |  | undefined
07/02/2024 08:54:02:437  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:Enrollment-consentAnnouncement | Framework | Enrollment-consentAnnouncement |  |  | undefined
07/02/2024 08:54:02:500  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:Enrollment-consentMenu | Framework | Enrollment-consentMenu |  |  | undefined
07/02/2024 08:54:04:197  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:ConDisconnectHangup | Framework | ConDisconnectHangup |  |  | undefined
07/02/2024 08:54:04:249  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
07/02/2024 08:54:04:300  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
07/02/2024 08:54:04:617  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:Disconnect | Framework | Disconnect |  |  | undefined
07/02/2024 08:54:04:667  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:CallDisconnect | Framework | CallDisconnect |  |  | undefined
07/02/2024 08:54:04:724  INFO - Node Entry | session id:sess8647968 | QatarIVR_UAT:Exit | Framework | Exit |  | ^^0^0 | undefined
07/02/2024 08:54:04:724  INFO - Application Exit | session id:sess8647968 | QatarIVR_UAT:Exit | Framework | Application Exiting |  |  | undefined
07/02/2024 08:55:26:842  INFO - Node Entry | session id:sess8277706 | QatarIVR_UAT:Start | Framework | Start |  |  | 
