28/12/2023 10:36:23:649  INFO - Node Entry | session id:sess3402292 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 10:36:23:711  INFO - Node Entry | session id:sess3402292 | QatarIVR:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
28/12/2023 10:36:23:774  INFO - Node Entry | session id:sess3402292 | QatarIVR:Disconnect | Framework | Disconnect |  |  | undefined
28/12/2023 10:36:23:837  INFO - Node Entry | session id:sess3402292 | QatarIVR:CallDisconnect | Framework | CallDisconnect |  |  | undefined
28/12/2023 10:36:32:401  INFO - Node Entry | session id:sess3402292 | QatarIVR:Exit | Framework | Exit |  | ^^0^0 | undefined
28/12/2023 10:36:32:412  INFO - Application Exit | session id:sess3402292 | QatarIVR:Exit | Framework | Application Exiting |  |  | undefined
28/12/2023 11:20:10:853  INFO - Node Entry | session id:sess5341841 | QatarIVR:Start | Framework | Start |  |  | 
28/12/2023 11:20:11:134  INFO - Node Entry | session id:sess5341841 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
28/12/2023 11:20:11:623  INFO - Node Entry | session id:sess5341841 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 11:20:11:675  INFO - Node Entry | session id:sess5341841 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
28/12/2023 11:20:11:730  INFO - Node Entry | session id:sess5341841 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
28/12/2023 11:20:11:787  INFO - Node Entry | session id:sess5341841 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 11:20:11:841  INFO - Node Entry | session id:sess5341841 | QatarIVR:SFConnectBack | Framework | SFConnectBack |  |  | undefined
28/12/2023 11:20:11:893  INFO - Node Entry | session id:sess5341841 | QatarIVR:Verify-Begin | Framework | Verify-Begin |  |  | undefined
28/12/2023 11:20:11:945  INFO - Node Entry | session id:sess5341841 | QatarIVR:Verify-PreData | Framework | Verify-PreData |  |  | undefined
28/12/2023 11:20:12:003  INFO - Node Entry | session id:sess5341841 | QatarIVR:Verify-LoadVBConfigValuesFromHost | Framework | Verify-LoadVBConfigValuesFromHost |  |  | undefined
28/12/2023 11:20:12:058  INFO - Node Entry | session id:sess5341841 | QatarIVR:Verify-CheckCalibration | Framework | Verify-CheckCalibration |  |  | undefined
28/12/2023 11:20:12:162  INFO - Node Entry | session id:sess5341841 | QatarIVR:Verify-postcalibrationverify | Framework | Verify-postcalibrationverify |  |  | undefined
28/12/2023 11:20:12:215  INFO - Node Entry | session id:sess5341841 | QatarIVR:postverify-Begin | Framework | postverify-Begin |  |  | undefined
28/12/2023 11:20:12:268  INFO - Node Entry | session id:sess5341841 | QatarIVR:postverify-preprocess | Framework | postverify-preprocess |  |  | undefined
28/12/2023 11:20:12:321  INFO - Node Entry | session id:sess5341841 | QatarIVR:postverify-StartSessin | Framework | postverify-StartSessin |  |  | undefined
28/12/2023 11:20:13:085  INFO - Node Entry | session id:sess5341841 | QatarIVR:postverify-preverifyannounce | Framework | postverify-preverifyannounce |  |  | undefined
28/12/2023 11:20:13:164  INFO - Node Entry | session id:sess5341841 | QatarIVR:postverify-authenticateVoice | Framework | postverify-authenticateVoice |  |  | undefined
28/12/2023 11:20:19:670  INFO - Node Entry | session id:sess5341841 | QatarIVR:ConDisconnectHangup | Framework | ConDisconnectHangup |  |  | undefined
28/12/2023 11:20:19:723  INFO - Node Entry | session id:sess5341841 | QatarIVR:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
28/12/2023 11:20:19:775  INFO - Node Entry | session id:sess5341841 | QatarIVR:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
28/12/2023 11:20:19:834  INFO - Node Entry | session id:sess5341841 | QatarIVR:Disconnect | Framework | Disconnect |  |  | undefined
28/12/2023 11:20:19:887  INFO - Node Entry | session id:sess5341841 | QatarIVR:CallDisconnect | Framework | CallDisconnect |  |  | undefined
28/12/2023 11:20:19:945  INFO - Node Entry | session id:sess5341841 | QatarIVR:Exit | Framework | Exit |  | ^^0^0 | undefined
28/12/2023 11:20:19:949  INFO - Application Exit | session id:sess5341841 | QatarIVR:Exit | Framework | Application Exiting |  |  | undefined
28/12/2023 11:36:22:290  INFO - Node Entry | session id:sess2521101 | QatarIVR:Start | Framework | Start |  |  | 
28/12/2023 11:36:22:365  INFO - Node Entry | session id:sess2521101 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
28/12/2023 11:36:22:521  INFO - Node Entry | session id:sess2521101 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 11:36:22:572  INFO - Node Entry | session id:sess2521101 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
28/12/2023 11:36:22:623  INFO - Node Entry | session id:sess2521101 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
28/12/2023 11:36:22:680  INFO - Node Entry | session id:sess2521101 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 11:36:22:731  INFO - Node Entry | session id:sess2521101 | QatarIVR:SFConnectBack | Framework | SFConnectBack |  |  | undefined
28/12/2023 11:36:22:783  INFO - Node Entry | session id:sess2521101 | QatarIVR:Verify-Begin | Framework | Verify-Begin |  |  | undefined
28/12/2023 11:36:22:836  INFO - Node Entry | session id:sess2521101 | QatarIVR:Verify-PreData | Framework | Verify-PreData |  |  | undefined
28/12/2023 11:36:22:888  INFO - Node Entry | session id:sess2521101 | QatarIVR:Verify-LoadVBConfigValuesFromHost | Framework | Verify-LoadVBConfigValuesFromHost |  |  | undefined
28/12/2023 11:36:22:942  INFO - Node Entry | session id:sess2521101 | QatarIVR:Verify-CheckCalibration | Framework | Verify-CheckCalibration |  |  | undefined
28/12/2023 11:36:23:033  INFO - Node Entry | session id:sess2521101 | QatarIVR:Verify-postcalibrationverify | Framework | Verify-postcalibrationverify |  |  | undefined
28/12/2023 11:36:23:085  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-Begin | Framework | postverify-Begin |  |  | undefined
28/12/2023 11:36:23:137  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-preprocess | Framework | postverify-preprocess |  |  | undefined
28/12/2023 11:36:23:189  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-StartSessin | Framework | postverify-StartSessin |  |  | undefined
28/12/2023 11:36:23:262  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-preverifyannounce | Framework | postverify-preverifyannounce |  |  | undefined
28/12/2023 11:36:23:325  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-authenticateVoice | Framework | postverify-authenticateVoice |  |  | undefined
28/12/2023 11:36:33:468  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-vbAuthenticate | Framework | postverify-vbAuthenticate |  |  | undefined
28/12/2023 11:36:33:589  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-hostdownannounce | Framework | postverify-hostdownannounce |  |  | undefined
28/12/2023 11:36:33:667  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-TRIGGER_SMS_EMAIL_VERIFY_FAILURE | Framework | postverify-TRIGGER_SMS_EMAIL_VERIFY_FAILURE |  |  | undefined
28/12/2023 11:36:33:761  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-QR_UPDATE_VB_VERIFY | Framework | postverify-QR_UPDATE_VB_VERIFY |  |  | undefined
28/12/2023 11:36:33:824  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-preTransfer | Framework | postverify-preTransfer |  |  | undefined
28/12/2023 11:36:33:887  INFO - Node Entry | session id:sess2521101 | QatarIVR:postverify-Transfer | Framework | postverify-Transfer |  |  | undefined
28/12/2023 11:36:33:949  INFO - Node Entry | session id:sess2521101 | QatarIVR:Verify-prepareTransfer | Framework | Verify-prepareTransfer |  |  | undefined
28/12/2023 11:36:34:044  INFO - Node Entry | session id:sess2521101 | QatarIVR:Verify-Transfer | Framework | Verify-Transfer |  |  | undefined
28/12/2023 11:36:34:106  INFO - Node Entry | session id:sess2521101 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 11:36:34:169  INFO - Node Entry | session id:sess2521101 | QatarIVR:SetTechDiffPrompt | Framework | SetTechDiffPrompt |  |  | undefined
28/12/2023 11:36:34:232  INFO - Node Entry | session id:sess2521101 | QatarIVR:TechnicalDifficulties | Framework | TechnicalDifficulties |  |  | undefined
28/12/2023 11:36:34:342  INFO - Node Entry | session id:sess2521101 | QatarIVR:SFDynamicTransfer | Framework | SFDynamicTransfer |  |  | undefined
28/12/2023 11:36:34:406  INFO - Node Entry | session id:sess2521101 | QatarIVR:Transfer-Begin | Framework | Transfer-Begin |  |  | undefined
28/12/2023 11:36:34:468  INFO - Node Entry | session id:sess2521101 | QatarIVR:Transfer-getTransferVDN | Framework | Transfer-getTransferVDN |  |  | undefined
28/12/2023 11:36:34:530  INFO - Node Entry | session id:sess2521101 | QatarIVR:Transfer-Error | Framework | Transfer-Error |  |  | undefined
28/12/2023 11:36:34:592  INFO - Node Entry | session id:sess2521101 | QatarIVR:IsCallHistoryInserted | Framework | IsCallHistoryInserted |  |  | undefined
28/12/2023 11:36:34:654  INFO - Node Entry | session id:sess2521101 | QatarIVR:InsertCallHistory | Framework | InsertCallHistory |  |  | undefined
28/12/2023 11:36:34:717  INFO - Node Entry | session id:sess2521101 | QatarIVR:Disconnect | Framework | Disconnect |  |  | undefined
28/12/2023 11:36:34:779  INFO - Node Entry | session id:sess2521101 | QatarIVR:CallDisconnect | Framework | CallDisconnect |  |  | undefined
28/12/2023 11:36:43:368  INFO - Node Entry | session id:sess2521101 | QatarIVR:Exit | Framework | Exit |  | ^^0^0 | undefined
28/12/2023 11:36:43:368  INFO - Application Exit | session id:sess2521101 | QatarIVR:Exit | Framework | Application Exiting |  |  | undefined
28/12/2023 11:42:50:089  INFO - Node Entry | session id:sess3042715 | QatarIVR:Start | Framework | Start |  |  | 
28/12/2023 11:42:50:149  INFO - Node Entry | session id:sess3042715 | QatarIVR:LoadInitValues | Framework | LoadInitValues |  |  | undefined
28/12/2023 11:42:50:292  INFO - Node Entry | session id:sess3042715 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 11:42:50:343  INFO - Node Entry | session id:sess3042715 | QatarIVR:DynamicData | Framework | DynamicData |  |  | undefined
28/12/2023 11:42:50:397  INFO - Node Entry | session id:sess3042715 | QatarIVR:SetFetchTimeout | Framework | SetFetchTimeout |  |  | undefined
28/12/2023 11:42:50:455  INFO - Node Entry | session id:sess3042715 | QatarIVR:DynamicFetchNode | Framework | DynamicFetchNode |  |  | undefined
28/12/2023 11:42:50:506  INFO - Node Entry | session id:sess3042715 | QatarIVR:SFConnectBack | Framework | SFConnectBack |  |  | undefined
28/12/2023 11:42:50:558  INFO - Node Entry | session id:sess3042715 | QatarIVR:Verify-Begin | Framework | Verify-Begin |  |  | undefined
28/12/2023 11:42:50:608  INFO - Node Entry | session id:sess3042715 | QatarIVR:Verify-PreData | Framework | Verify-PreData |  |  | undefined
28/12/2023 11:42:50:660  INFO - Node Entry | session id:sess3042715 | QatarIVR:Verify-LoadVBConfigValuesFromHost | Framework | Verify-LoadVBConfigValuesFromHost |  |  | undefined
